name,symbol,logo,historicalFile,url
Ignis,IGNIS,IGNIS.png,IGNIS.csv,/currencies/ignis/
Big Token,ONE,ONE.png,ONE.csv,/currencies/bigone-token/
GameCredits,GAME,GAME.png,GAME.csv,/currencies/gamecredits/
GAMEE,GMEE,GMEE.png,GMEE.csv,/currencies/gamee/
Jigstack,STAK,STAK.png,STAK.csv,/currencies/jigstack/
UpBots,UBXT,UBXT.png,UBXT.csv,/currencies/upbots/
Sylo,SYLO,SYLO.png,SYLO.csv,/currencies/sylo/
TrueChain,TRUE,TRUE.png,TRUE.csv,/currencies/truechain/
,POA,POA.png,POA.csv,/currencies/poa/
All Sports,SOC,SOC.png,SOC.csv,/currencies/all-sports/
Receive Access Ecosystem,RAE,RAE.png,RAE.csv,/currencies/receive-access-ecosystem/
TurtleCoin,TRTL,TRTL.png,TRTL.csv,/currencies/turtlecoin/
Matrix AI Network,MAN,MAN.png,MAN.csv,/currencies/matrix-ai-network/
ownix,ONX,ONX.png,ONX.csv,/currencies/ownix/
Gameswap,GSWAP,GSWAP.png,GSWAP.csv,/currencies/gameswap/
DeHub,DEHUB,DEHUB.png,DEHUB.csv,/currencies/dehub/
BoringDAO,BOR,BOR.png,BOR.csv,/currencies/boringdao/
Banano,BAN,BAN.png,BAN.csv,/currencies/banano/
TenX,PAY,PAY.png,PAY.csv,/currencies/tenx/
Tranche Finance,SLICE,SLICE.png,SLICE.csv,/currencies/tranche-finance/
CONTRACOIN,CTCN,CTCN.png,CTCN.csv,/currencies/contracoin/
CyberVein,CVT,CVT.png,CVT.csv,/currencies/cybervein/
Bonded Finance,BOND,BOND.png,BOND.csv,/currencies/bonded-finance/
Tachyon Protocol,IPX,IPX.png,IPX.csv,/currencies/tachyon-protocol/
,YOYOW,YOYOW.png,YOYOW.csv,/currencies/yoyow/
FairGame,FAIR,FAIR.png,FAIR.csv,/currencies/fairgame/
Coin,BHP,BHP.png,BHP.csv,/currencies/bhp-coin/
Mysterium,MYST,MYST.png,MYST.csv,/currencies/mysterium/
Opium,OPIUM,OPIUM.png,OPIUM.csv,/currencies/opium/
ReapChain,REAP,REAP.png,REAP.csv,/currencies/reapchain/
Project WITH,WIKEN,WIKEN.png,WIKEN.csv,/currencies/project-with/
 Finance,OIN,OIN.png,OIN.csv,/currencies/oin-finance/
Bone ShibaSwap,BONE,BONE.png,BONE.csv,/currencies/bone-shibaswap/
AnimalGo,GOM2,GOM2.png,GOM2.csv,/currencies/animalgo/
BaaSid,BAAS,BAAS.png,BAAS.csv,/currencies/baasid/
Caspian,CSP,CSP.png,CSP.csv,/currencies/caspian/
Degenerator Meme,MEME,MEME.png,MEME.csv,/currencies/degenerator-meme/
,TOP,TOP.png,TOP.csv,/currencies/top/
Autonio,NIOX,NIOX.png,NIOX.csv,/currencies/autonio/
UniCrypt,UNCX,UNCX.png,UNCX.csv,/currencies/uncx/
